stars,rating,text
2,Negative,"More like 2.5 stars. I'm giving two so the owners will have more incentive to make the necessary tweaks.

I really wanted to like Strada 241. It's a beautiful space and the service is friendly, but the food was lackluster. We split a salumi plate and each had a pizza (I had the 'nduja). The salumi plate was nice but a little on the small side and lacking in variety, with only three meats. The pizzas looked good but were pretty tasteless - the cheese was bland, the sauce was bland and missing the necessary balance of tanginess and sweetness, and the crust was dried out and lacking flavor (probably a result of the electric oven).

I would come back to try the pastas and also to see if the pizza improves. There's no lack of effort here and the food is honest."
1,Negative,"Used to be a good place. Has gone downhill the last few years. I already know their pizza is not good anymore, it was when they first opened, but I was in the mood for pasta and decided to give them a chance to redeem themselves . 

I ordered to go and when I got their at 8 pm on a Saturday night and there was only one two person table and no other people in the restaurant, I had a feeling something wasn't right. 
Spent $23.17 on two pastas to go. One the was spaghetti with meat sauce, I would compare it to a can of Chef Boyardee. The other was a pesto pasta with chicken, not very good either. 

Threw them both in the trash

After this meal, I also threw my Streets of New York takeout menu in the trash"
1,Negative,One of THE worst pizzas I've ever had. The cooks are really cheap when it comes to cheese (the pizza was almost all tomato sauce) because the cheese was missing. Absolutely no taste. I don't usually bad reviews unless earned and these ppl working here certainly earned a bad review. Maybe the owner is a cheap person and is forcing cooks to be cheap with toppings.
1,Negative,"My review is based on my experience with the management, not the food. The food is just ok, nothing to write home about. Secret pizza at Cosmo is better.

The manager on duty failed to do his duties when I requested him to call security to come assist me when I was being harassed by a drunk belligerent man while in line. I felt unsafe and wanted security to come but the manager NEVER CALLED them. He in fact lied to me saying that they were too busy to assist me. I spoke to security later on that night and they told me they never received a call. 

SHAME ON YOU manager on duty Sunday 1:30AM for lying about calling security."
2,Negative,"Honestly? It tasted weird. I was visiting extended family and we bought two pizzas--1/2 veggie/meat and one cheese. The sauce was too sweet and the veggies were not at all what I expected. Now, Mineo's...better pizza."
1,Negative,"California Pizza Kitchen has always been one of those places that everyone can agree on. The menu is big enough where there is something for everyone and usually everyone walks away happy. Lately though, the quality of the food as gone way down. 

Before I went vegetarian I used to always get the chicken waldorf salad and it was always so good. I love the blue cheese and the candied walnuts. They were addicting. Since I've become vegetarian I settled on the hummus appetizer, grilled vegetable salad, and the wild mushroom pizza. Recently though, they have completed revamped the menu, adding new items, taking old favorites off. For some places, menu changes mean new and exciting food opportunities and makes the visit to that place even better. Not for CPK. 

Recently, since beginning to use yelp, I have wanted to try new places and veer away from old favorites or places that I am used to. However, I tend to have friends and family members who are food-borists... Ya I just invented a new word. A food-borist is someone who never wants to try anything new, and will eat at the same place and order the same exact thing all of the time. My friends are this way. It never fails. Any time one of them has a birthday I get an invitation to eat at CPK and every time I groan. Even before I swore off CPK forever, I was getting extremely tired of it. The second to the last time I went was for my birthday with some friends. I ordered the new roasted vegetable salad and a cup of the vegetarian tortilla soup. I used to love the grilled vegetable salad and was pissed when they replaced it on the menu with roasted vegetable salad. Not good. I struggled through it because my friends paid for my dinner and I didn't want to waste their money. But it was gross, and I vowed never to order it again. The soup was good though. The last time I went was with my sister, husband and niece. This time I ordered the new caramelized peach salad. On the menu, most of the new items sound really good. Its just the execution of them that fails CPK. The peach salad was gross. The peaches were canned and then warmed, and I also saw no caramelization whatsoever. The combination of the peaches with the gorgonzola (my favorite cheese of all time) was so unappetizing. I didn't even get through half of the salad before I said forget it. My husband ordered the garlic cream fettuccine and added sauteed mushrooms and was upset by this as well. The portion size was really small and it was extremely salty. My sister ordered the barbecue cobb salad which was almost entirely jicama. She barely ate half as well because it was just a giant jicama salad! They skimped on all of the other items in the salad and just pretty much covered some jicama in barbecue dressing. 

The pricing at CPK has also become outrageous. It was almost $13 for my salad. For a salad! Does anyone else find that wrong? Considering the ingredients, my salad should have cost $7, tops! Pasta is expensive, pizzas were generally reasonable for awhile but those prices have been raised as well. For such a casual dining place the prices are just exorbitant. The service also sucks. Our waitress probably spent two minutes total the entire meal at our table. No refilled waters, no how is everything. She was just rushing around everyone else's table except ours. 

So we all have made a vow never to return to any CPK. Especially the one in the Chandler Fashion Center. Before I went vegetarian, I got a lovely surprise one morning after eating here and was graced with food poisoning for two days. That was a great experience."
1,Negative,first off i called and the guy barley spoke any english then i had ordered a pizza and had decided to cancel so 2 minutes later i called and canceled but they still charged my credit card so i called and ask for a refund and they pretty much told me too bad so beware of this and i would suggest romas pizza very good and family owned
2,Negative,Second time in and again I wait for a Ready Now plain ole cheese pizza!   I need to learn to go to another store that may be ready to care for customers!
1,Negative,"Ordered delivery for me and the kids. Two hours later, our meal arrived. I called to inquire after about an hour. Was told that the delivery was on the way. Minutes later received a call that it was being fired and would be delivered soon. Do you think it was on the house? Nope. Just got a piece of cheesecake and  20% coupon. Not good enough. 
Now, let's talk food. The meatball ""panini"" was a piece of French bread with a bland/acidic sauce. The meatballs were overcooked and dry. Not a pleasant experience. The pizza sauce was also watery and bland. You'd think that a place called ""Sauce"" would have figured it out by now. Not so."
1,Negative,"If I could give this 0 stars I would.
Delivery took an hour. Pizza arrived cold and not prepared as ordered. Sausage is completely unseasoned pork topping.  Gross is the only word I can think of to describe this pizza. Save your money. You'll get better pizza from the frozen food aisle at Giant Eagle."
2,Negative,"My order got here earlier than expected but the toppings, cheese and sauce is all over the box. Now the crust is soggy. I hate being that person but now I have to call for a new pizza."
1,Negative,"The service is slow and not very friendly and the pizza tastes store bought. I've tried to eat here several times with friends. 
But it just doesn't seem to do anything for me. 
There's a Jack in the Box across the parking lot with hot food and friendly service."
1,Negative,"This place SUCKS! The guy was very nice on the phone taking my order, but then 30 MIN later, I receive some call from Gary saying that they do not deliver to me. Thanks for letting me know when I placed my order and gave you my cc# already!!
I don't know how the pizza is yet, from other location, because it has yet to arrive. 
Waste of time"
1,Negative,"Horrible Food don't waste your money

This is the worse cardboard covered cheese & sauce so called pizza I've ever had, I haven't had this garbage since grade school cafeteria food, Most of the reviews on here rant about what a great place this is how much fun you'll have there. IDK where that place is cuz the one I wan in today in East Liberty by the Home Depot was getto beyond belief the food is bad & the people aren't nice & friendly.

Loudness is an issue there when the lottery area has a sign saying because of back round noise your number may be wrong. Not one person there had decent customer service skills I had to ask the girl 3 times to speak up and I have excellent hearing. I ordered a small pizza I got a medium that was greasy on top but the crust was stale. 

I looked forward to getting some great pizza man this place really disappointed me today."
2,Negative,"Ok for $5 - 6  but not good pizza, no  flavor,  good for young children or anyone else who likes bland pizza!  If they want to charge extra for thin crust they should put it in writing! I would rather give my $5.00 to Little Cesar's!"
2,Negative,"I used to like the pizza from here. Last time I ordered it was still doughy and I had to cook longer. Today it was ice cold. Not even lukewarm. My kid was screaming for pizza so I didn't send it back. But, I won't ever order from here again. $31 plus tip for a cold pizza and cold soup. There was a piece of ""garlic bred"". It was half a sub roll uncooked with some garlic butter on it. Yum. Should have had a can of Progresso and a frozen pizza and saved $25. Wait, I could have saved $35. I tipped $10. I figure a poor kid driving his own car deserves a decent tip. I called to let them know and she said sorry we can replace the pizza. My kid ate the cold thing anyway. And who wants to wait another hour for the replacement? Blah. Next time I'll drive my lazy self over to Bonnanos and pick up a pizza myself."
2,Negative,"I really enjoy the food, can't say the same about their service. I waited an hour and 20 minutes for two pizzas and when they finally arrived they were incredibly cold! Not a happy customer."
1,Negative,Absolutely avoid this place it's a last resort for me and even then I regret it. Undercooked pizza sparse toppings and the rudest employee ever. They need to just shut this place down I've given them so many second chances and will never do it again. When you complain to corporate they send a free pizza for the same location -- how dumb!!! I hope they shut down and something decent fills this prime spot.
2,Negative,"Waiter was over the top cheesy.  Talked too much.  A bit obnoxious.
No gluten-free options for pizza or pasta (Ferro's on St. Clair offers gluten-free options that are amazing - go there instead if you eat gluten-free).
One of the specials had risotto as a side so I asked if I could just have a small bowl of the risotto as my main and the waiter said no - didn't even go check with the kitchen - flat out no.  Treated me like I was asking them to make risotto from scratch.
So I ordered a steak instead which was good but if I wanted steak would have gone to the keg in the first place.
Marcello's is clearly stuck in the past....no variety for those with dietary restrictions."
1,Negative,"My wife and I visited East West Pizza because we purchased a restaurant.com gift certificate for $2 and we've been questing to find decent pizza in the area.

Our meal here was mediocre. We were pleased by the option to have the crust well done (my wife had hers done this way, while I stuck with the regular crust), but the taste was just bland and uninteresting -- totally lacking in the sort of flavour punch that makes a really good pizza.

I wasn't going to bother writing a review of the place as pizza is a pretty subjective area, however several months ago I received a spam email from East West -- I must have filled out some comment card or something so, I emailed them and asked them nicely to remove me from their list. They replied, very apologetic, and promised to do so. 

For the next several months, despite this guarantee, I continued to receive spam in my email from East West. I emailed them again, this time asking more forcefully to be removed from their list and received no reply - just more spam over the next month or two. Tonight I emailed centurylink, their email host, and reported them for spamming.

East West Pizza - two stars for mediocre pizza that I never feel the need to taste again, minus one star for being spammers."
1,Negative,"My fiance ordered from here recently. After waiting almost 2 hours for our pizza to arrive, we called and asked what was going on, they said it would be there soon. Ten to fifteen minutes later it shows up and the driver informed us that they forgot to make the pizza. Any to top it all off we received some cardboard with a thousand dried up pepperoni slices on it. Wouldn't recommend"
2,Negative,"I'm just in the area for the day... Showing some houses to some buyer clients and needed a place to stop for lunch between appointments. I ate too much. This Brother's is not as good as a similar place on Peoria... But it was decent. I would eat here again if driving by and in the mood for pizza. My Pepsi tasted fine. The girl who took my order was happy & pleasant. I got my soda topped off before I left and I got two sides of ranch at no charge... The only thing I was out off by was that I'm glad I didn't have to pay for the ranch because they were both half full which is why I needed two. If I had paid for them, I would have said something. I'm full, happy and ready for a nap... Oh! Need to show houses... 

I ordered the two slices of cheese and a Pepsi and my total was $4.38

Um I went to the bathroom before leaving,.. The door didn't lock and toilet sprayed water (yes toilet water) at me and did not flush properly... Hopefully they get that fixed!"
2,Negative,"2 stars

The pizza is ridiculously overpriced, $17 for an 11-inch pizza?

Our server was a little aggressive, he even complained about his other customers to us.  Who knew what he was saying about us?   He also must have thought we were stupid because he kept explaining the difference between sausage  and pepperoni?  REALLY?

The server really ruined this meal for us, he even tried some adult humor with the serving of the beer.  I'll leave it at that.  So the food never had a chance, we just wanted to leave.

If you eat here...take your time, the pizza comes out real fast.

Being from New Jersey, we know and appreciate good pizza...this was mediocre at best.

We won't be returning."
1,Negative,I called in for delivery and waited an hour for them to deliver my pizza which yes they might have been busy I understand but when they drop it off I didn't take a look at the pizza because I was working and put it in the back in the break room as soon as I went to go get a slice the entire pizza was burned and it looked old. I waited an hour at least you guys should have made sure my pizza was not burn and at least somewhat fresh. It's so mess up. They wouldn't even give my money back.
1,Negative,I do not recommend going to this location what so ever. Please drive a little out of your way and avoid this location. Absolutely nothing hot n ready. While waiting 20 minutes for two pizzas one pep bestest the other a cheese bestest one would think the pizzas would be hot but they were room temp with no pizza sauce and hardly any cheese. Please do not waste your money and time here. I grew up with little Caesars and have been to many in different states over the past 15 years and I have never had such a bad experience food wise I have never left a little Caesars Pizza and thought I was ripped off but this location had me felling like I was ripped off which I was and you will be too. Please go to any other location do not waste your time or money at this location.
2,Negative,"This place is hit or miss depending on who's working, and tonight was a miss.  Pizza Nova is by far the best chain pizza store, and they're usually pretty consistent, but this place is the worst one I've ever frequented.  The pizza tonight tasted almost like nothing.  Not sure why the couple who own the place refuse to put more than an ounce of sauce on the pizza, but that's what you basically get from them.  You dont even taste the sauce, that's how little they put.  The lack of sauce throws off the whole balance of what a pizza is, so all you taste is dough, cheese, and toppings.  It's more like a sandwich with no condiments than a pizza.  We didn't even bother finishing the whole thing, which is unheard of in our household, that's how bland it was.  If there was a better option in the area I wouldn't bother with this place, sadly there isn't."
1,Negative,Really bad experience here. Went in at 6pm for a drink and asked about dueling pianos. They start @ 8pm. Ok. We had two drinks and were hungry. Asked if we could get pizza from across the way and bring in. Yes that was fine. Get your hand stamped so u can come back in. We got pizza (worst ever) and were then told we could not bring it in. Had to sit outside and they were closing the bar for half an hour while they set up. Ate and then got in line to go back in. No charge since we had our hand stamped. Tried to fit at a table and were told NO we had to stand. The tables were reserved!  Nowhere did it state that we needed a reservation nor did the bartender tell us that. Total bullshit way to treat customers who spent $50 on two drinks each!  EXTREMELY disappointed. Sucks
1,Negative,"Ordered from Caliente on a weeknight, and it took an hour and a half to get the pizza.  When we finally got the pizza it was cold.  I was hopeful that after waiting so long the pizza would be worth the wait but was left disappointed.  The toppings were decent but the dough tasted just like the big chains.  

Bottom line - if you want a passable pizza delivered ice cold in two hours this is your place, otherwise you are better off going somewhere else."
1,Negative,"This is one of the worst experiences I've had at a restaurants. We ordered pizza , salad and a sandwich. After over 45 minutes of patiently waiting and no comment from server in what the delay was, we asked the manger about our food. He said he was too busy to help us. He said he would be with us in 10-15 minutes. If we didn't want to wait, we were more than welcome to leave. Who treats customers like that? I told the server we were leaving and left cash for the drinks. She just shrugged her shoulders and said ""do what you have to"". I don't think I gave been treated so poorly as a paying customer in my life. The management is an embarrassment and service, all around was horrendous. What a disappointment."
2,Negative,This place had us pretty impatient the whole time! I shared a pizza with my significant other and he asked for half of it to have no onions but it came out covered in onions all over! It then took a half an hour to split the bill. To be honest i wasn't very impressed by the food.
2,Negative,"Called in and was put on hold for more than 5 minutes.  Once I placed my order I was told pickup would be between 6:30 and 6:50....it's 4:30! 2 hours for a couple of thin crust pizzas?  Why a twenty minute range for pickup?  I cancelled order so never got to taste the food.  Good news is that the reviews are bad, so it'll slow down enough for me to give it a try very soon.

FYI - your rating on Yelp is the same as Peter Piper Pizza.  Hilarious!"
2,Negative,"I don't know what people are talking about. Being from NJ I can tell you this is NOT good NY style pizza. It's the kind of pizza you get in NY and then never return to that place again. I tried the regular and the white pizza. The white pie had no flavor, no garlic no salt, nothing. The regular pie had hardly any sauce, and the crust was hard as a rock. I hope there are better places for ""NY style"" pizza in the area.  We left hungry. They also messed up our order so it took about twenty minutes to get four slices of pizza warmed up.

Also they weren't wearing gloves or anything. Maybe I'm a stickler but I don't like people touching my food with their hands and then touching everything else in the kitchen. Gross."
1,Negative,Haven't been to pizza hut in a few yrs. My daughter and I wanted to try the bacon crust pizza one day a few wks ago so I ordered online  (ok that wasn't successful so I had to call) anyway I placed my order and 5 mins later they called and said they ran out of the bacon crust. This was at noon. Wasn't very happy. Needless to say I don't think I'll be attempting this again any time soon
1,Negative,"I wasn't planning on commenting on quality of food, but since other's have been experiencing the same issues...

We were very excited to move into Sun Prairie where there was a Glass Nickel Pizza nearby (we previously lived in the Milwaukee area).  The day after we moved in, we decided to order Glass Nickel to eat while unpacking.  The staff was fairly friendly on the phone, pizza came in the delivery estimate time.  Pizza itself was okay, but not NEARLY as good as the New Berlin and West Madison locations.

The next day, we became violently ill.  With the chaos of moving, their pizza was the only thing I ate all day so I'm sure that it was from this.  My husband and I are positive we got food poisoning from their pizza.  We do not plan on re-visiting the Sun Prairie Glass Nickel Pizza (especially after the reviewer stated that employees were cleaning toilets sans washing hands).  Such a shame!!"
1,Negative,"Still yucky.  picked up an order which should have been hot, hard as a rock like cardboard and burnt on the bottom.  There are many other places in town for good pizza avoid this and you will be more than happy.  Hit and Miss place, mostly Miss"
1,Negative,Pizza came out cold. We ordered the classic pepperoni and there were probably three slices of pepperoni in the entire pizza. It was just all sauce and cheese.
1,Negative,"Did the online order. Arrive at the time that the food was supposed to be ready. 10 minutes after I'm told it will be a little longer, I'm told that the wings are going to be another 12 minutes!!!  WTF?!?  So now I'm sitting here in the store for about 30 additional minutes!  I wouldn't have ordered if I knew it was gonna be this long for one pizza and a few wings. Nobody wants to sit in your shack for 30 minutes when you've already been told that the food will be ready when you arrive. the question I have now is how cold is the pizza gonna be when I get home. I want a nice fresh, hot pizza. Not something that's been sitting for 30 f-ing minutes!!!"
1,Negative,"The best thing about our visit was our waitress. She was attentive and apologetic that the pizza was terrible. It was undercooked, the crust was soggy and the toppings were sparse. Too bad. It was the first time we have been out in the evening in 4 months.What a disappointment!  We won't be returning."
1,Negative,"We ""used"" to order the family special every week or two on a regular basis. Food was decent & value for the $ (at that time) was fairly good too. One night we ordered, the food was delivered. We paid cash & tipped well (always do, as I used to deliver fast food myself). We get a telephone call the next day saying that we shorted the driver $10. WTF? Seriously? Like the driver would NOT know this right at the door (if it were true)? We do NOT get a call that night (we ordered for dinnertime) but the next day! Clearly they got ripped off by their driver. We have NOT ever ordered from there again. Brampton's best pizza(s)..Mackay & Gusto's."
1,Negative,"I was excited to try a new pizza place so close to my house.  I should have saved my money. Person on the phone and at the shop was very nice, so it's doubly disappointing to give them a bad review.

Bottom line, our pizza was over-cooked. We could tell when we opened the box.  The crust was dark brown, as was the cheese.  On one pizza the bottom of the crust was burned black and we could not eat it. The other was not as burned, but was so overcooked it was not enjoyable.  

Whoever cooked this pizza should have known the second it came out of the oven that it was ruined.  I would have preferred them being honest and asking me to wait an extra 10 minutes to make another instead of passing off something they had screwed up.  Sure they saved a little money that night, but they lost the lifetime value of me as a customer.  That hundreds of dollars lost as well as me not telling people to avoid going there.

It such a hassle to get home to discover the problem.  Do I call and complain? Do I have them make another requiring another trip and eating at 9:00 PM? 

We also ordered 6 buffalo wings which were good.  Good meat and tangy sauce.

Finally, I was also disappointed in the quantity of pizza toppings.  I ordered pepperoni and mushroom and there was maybe one mushroom per slice, some had none.

I really wanted to like this place, especially because I like thin crust pizza, but we are one and done. We won't be going back."
1,Negative,"Terrible, terrible, terrible. Let me say first that we didn't get the deep dish, I didn't realize that is what they were famous for. Also the staff were nice, not overly helpful but never rude. My daughter got their wings, super fatty (probably Tyson). There was a long blonde hair in it, she has dark brown hair. When we told our waiter he said OK then took the plate, no apology. They did bring her out new ones but like I said before they were to fatty to enjoy. They did not even offer to take them off our bill. Our thin crust pizza taste like it literally came from a box. I can't even remember the last time I have had thin pizza this BAD!! The ice cream cookie had generic tasting ice cream and I believe it was covered in the store bought Hershey's syrup. I have never written a bad review about a restaurant, only good ones. Nothing has ever been that disappointing that I felt the need to write one until now."
1,Negative,"These people are below average intelligence 
Try to rip you off 
Argue with you about specials posted on the menu board in the store!
Had enough of them I do not have the time to teach basic common sense !
The special reads add any pizza for 9.95
(Equal or lesser value )
I order a pepperoni and sausage and a specialty pizza.
Simple right well they say they can't honor the ""2nd"" pizza because it's a ""specialty""
What does it matter what order I say my pizza's in?
Is it the darn important that you have to say the specialty pizza 1st? Common sense would be to just charge for the specialty pizza the charge me for the pepperoni and sausage at 9.95 right?
Well if I have to teach them basic common sense and argue over it I will just find me a new shop!"
1,Negative,"Very mediocre pizza. If you're stranded in the Brothers parking lot with a broken down car and you're really hungry, you'd be better off walking to the Circle K and getting a snack to tide you over til help arrives. To everyone who gave it lots of stars, you need to get out more and live a little...and eat better pizza."
2,Negative,"Normally we love Papa John's, but they don't deliver to our place.  We really wanted pizza so ordered carryout from what we thought was the Middleton store.  Our mistake we ordered from here.  That's ok.  It was our mistake.

However, this store is insanely hard to find and get to and there is zero parking outside for carryout.  We ordered online from another store and the order stated it would be ready in 45 minutes.  It gave us a time.  It actually took longer than 45 minutes to weave through the square and finally park illegally in an alley behind the store while the husband went to get said pizzas.  They were just putting them in the oven.  So we had to wait another twenty minutes and staff wasn't apologetic, just rude stating that the pick up time is an estimate.

The pizza was fine.  It was fresh and stayed warm on an eighty degree day until we were home to eat it.  But....it's not worth the trip and while I gave no real issues with it taking an hour plus to be ready for carryout during a busy time of day  that should be acknowledged ahead of time."
1,Negative,The most disgusting pizza I have ever eaten.  Nothing but salt and no cheese.  Ugh...will never order from them again!
2,Negative,"Pretty average spot. 

Italian food priced reasonably but won't really 'wow' you. I had a sausage pizza for 11$ which was a good size and cooked somewhere in between thin crust and doughy. They've got some lunch specials and salads that looked alright, although the salmon filet looked to be a frozen cut. 

Service was adequate. 

Is Baldwin street actually good?"
1,Negative,"We ordered this Monday night after a busy work day. Generally a fail safe, as you know what you're going to get. Not this time. I got my own pan pizza, which saved my boyfriend who got his own pizza, from being violently ill for 3 days. Im still feeling the stomach pain, although not the terrible twisting of death i was the days before. I phoned to inform them of what happened and of course, just as i thought, the person i spoke too did not care or say anything worth anything. I explained how I didn't want anything, just that they should probably know. They proceeded to tell me that i would need to see a doctor to prove what happened. I honestly do not care nearly enough to pay $10 for a doctors note to prove this. I am just warning other people that this was by far the most painful sick i have ever been in my life. Violently awful and lasted for days now. Please beware..."
1,Negative,"I was so excited for my sons 2nd bday party. It was aweful!! The host was everything but a host. A guest passed out cake and my husband stood at the door to hand out goodie bags. My party was from 4-6 and at 5:30 she started cleaning around people making it very awkward and guests left early. She was wearing a lower cut dress and I now have her cleavage in the pictures of my son blowing out his candles. 
When I booked the party I was told that each child gets 2 pieces of pizza, they actually get 1 slice cut in half. I had 15 children and 2 babies, I was charged extra for the babies even though they never left their mothers arms. She wasnt a kid friendly person and would just hollar out that it was time for cake or pizza, getting nobodys attention I was forced to round up the kids and get them seated. She started a ""soda tab"" and they charge $1 for a can of soda. At the end of the party I had spent $100 more than planned on sodas, extra pizza and the ridiculous 18% gratuity that was added on to my bill. A $45 tip was not what I had in mind for her. When calling the owner to discuss my issue she did NOTHING to resolve it and might have well just called me a liar because she defended the host to the very end. I will not recommend TOY TOWN to anyone!! BAD BUSINESS!!!!"
1,Negative,"Ordered 5 pizzas at 11 for 11:45 pickup confirmed waiting for 25 minutes and pizza still not ready. 
Got an ""oh sorry"".  

I watched 5 customers leave.  One said, "" let's go for office max we stand a better chance of getting food."""
2,Negative,We went for dinner and it was alright. The bruschetta was the best part of the meal! The pizza was soggy and the quinoa salad was alright.
1,Negative,"Every once in a while I love to remind myself as to why I don't order delivery from chain pizza places like Domino's, Pizza Hut, Papa John's, etc. sometimes I'm pleasantly surprised and tonight I was not. 

Over an hour and a half delivery time and I received a soggy medium pan pizza. But what had me most concerned is that my pizza was pulled out of the oven and checked at 6:35ish and was sitting there for over 45 min before it left the store. 

After delivery fees and tips for $16 I recommend eating a frozen pizza because at least you can pull it out when it's actually done baking. Me, didn't have access to an oven. Otherwise I know what I would've done. Baked a pizza."
2,Negative,"Do yourself a favor: Order Carry Out, not delivery. I order here like twice a month, but about 1/3 of the time I order delivery they attempt to deliver my pizza to the wrong apartment. 

Not sure why their drivers can't plug my address into Google Maps and figure out where I am. The staff at this location have proven to be incredibly incompetent and I am sick of giving them 2nd, 3rd and 4th chances."
2,Negative,"Wow I have been here four or five times. The first couple were a few months ago and I thought the pizza and pasta was great! I'm from Chicago and appreciated having this nearby. Well I'm not sure what happened but the past three times in the last two months are unacceptable. Just bad. First visit -- watery spaghetti and meatballs. It was marginally ok ... I ate it. The garlic bread was ... Terrible, I could have made better with wonder bread and garlic salt which is basically what it was ... Second time, I waited in line and their computer system went down it was a Friday night and they had no clue what to do... I forgave them for this, it happens but they could have written down my order and made my pizza ... They were completing orders and had other customers they just decided to freak out and not take mine, how did people order pizza and pay before computers? I had cash too. Third time tonight is just unacceptable. I don't eat a lot of pizza or carbs, when k to it's a treat ... I just spent $35 for a take and bake pizza (it was not cooked) and eggplant Parmesan (which was surprisingly ok) but the garlic bread was also not cooked. When I say this stuff was not cooked I mean it was not cooked. I had to break out my toaster oven which I did not appreciate. Terrible. I guess I have to find a new place or stick with due forni even though they are not really a take out place, huge disappointment I was hungry... 3 strikes you are out."
1,Negative,"The pizza was burn over cooked. We eat three slices and make up no taste to it. Would not recommend this place for their pizza. At the end we asked for a box, the staff make us a small container for more than a half of a pizza. Not even a pizza box ."
